source,target
Dido,The Corrs
Dido,Sheryl Crow
Dido,Sixpence None The Richer
Dido,Jewel
Dido,The Cardigans
Dido,No Doubt
Dido,Savage Garden
Dido,Sarah McLachlan
Dido,Garbage
Dido,KT Tunstall
Dido,The Cranberries
Dido,Sinéad O'Connor
Dido,Texas
Dido,All Saints
Dido,Annie Lennox
Dido,Sophie Ellis-Bextor
Dido,Duffy
Dido,Lisa Loeb
Bruno Mars,Maroon 5
Bruno Mars,Jason Derulo
Bruno Mars,Ne-Yo
Bruno Mars,Justin Timberlake
Bruno Mars,Sam Smith
Bruno Mars,Charlie Puth
Bruno Mars,Katy Perry
Bruno Mars,Shawn Mendes
Bruno Mars,Alicia Keys
Bruno Mars,Adele
Bruno Mars,Rihanna
Bruno Mars,One Direction
Bruno Mars,Jason Mraz
Bruno Mars,OneRepublic
Bruno Mars,Beyoncé
Bruno Mars,Ed Sheeran
Bruno Mars,Jessie J
Bruno Mars,Ariana Grande
Bruno Mars,Michael Jackson
Bruno Mars,Harry Styles
Bob Marley & The Wailers,Peter Tosh
Bob Marley & The Wailers,Ziggy Marley
Bob Marley & The Wailers,The Wailers
Bob Marley & The Wailers,Jimmy Cliff
Bob Marley & The Wailers,Damian Marley
Bob Marley & The Wailers,Steel Pulse
Bob Marley & The Wailers,Jimi Hendrix
Bob Marley & The Wailers,Stephen Marley
Bob Marley & The Wailers,UB40
Bob Marley & The Wailers,Gregory Isaacs
Bob Marley & The Wailers,The Doors
Bob Marley & The Wailers,Israel Vibration
Bob Marley & The Wailers,Bob Dylan
Bob Marley & The Wailers,Marvin Gaye
Bob Marley & The Wailers,Stevie Wonder
Bob Marley & The Wailers,James Brown
Bob Marley & The Wailers,The Rolling Stones
Bob Marley & The Wailers,Led Zeppelin
Bob Marley & The Wailers,Janis Joplin
Bob Marley & The Wailers,B.B. King
Israel Kamakawiwo'ole,Makaha Sons of Ni'ihau
Israel Kamakawiwo'ole,Keali'i Reichel
Israel Kamakawiwo'ole,Hapa
Israel Kamakawiwo'ole,Hawaiian Style Band
Israel Kamakawiwo'ole,Willie K
Israel Kamakawiwo'ole,Makaha Sons
Israel Kamakawiwo'ole,The Brothers Cazimero
Israel Kamakawiwo'ole,Robi Kahakalau
Israel Kamakawiwo'ole,Kuana Torres Kahele
Israel Kamakawiwo'ole,Ka’au Crater Boys
Israel Kamakawiwo'ole,Cecilio & Kapono
Israel Kamakawiwo'ole,Dennis Pavao
Israel Kamakawiwo'ole,Louis Armstrong
Israel Kamakawiwo'ole,Gabby Pahinui
Israel Kamakawiwo'ole,Hui Ohana
Israel Kamakawiwo'ole,John Cruz
Israel Kamakawiwo'ole,Kapena
Israel Kamakawiwo'ole,Bobby McFerrin
