Any;Valor;Sector;;;;
jun-10;75,37;Begudes alcohòliques i tabac;;;;
may-10;71,756;Begudes alcohòliques i tabac;;;;
abr-10;71,738;Begudes alcohòliques i tabac;;;;
mar-10;71,751;Begudes alcohòliques i tabac;;;;
feb-10;71,762;Begudes alcohòliques i tabac;;;;
ene-10;70,639;Begudes alcohòliques i tabac;;;;
dic-09;69,7;Begudes alcohòliques i tabac;;;;
nov-09;69,764;Begudes alcohòliques i tabac;;;;
oct-09;69,742;Begudes alcohòliques i tabac;;;;
sep-09;69,717;Begudes alcohòliques i tabac;;;;
ago-09;69,689;Begudes alcohòliques i tabac;;;;
jul-09;69,647;Begudes alcohòliques i tabac;;;;
jun-09;66,766;Begudes alcohòliques i tabac;;;;
may-09;63,983;Begudes alcohòliques i tabac;;;;
abr-09;64,013;Begudes alcohòliques i tabac;;;;
mar-09;63,982;Begudes alcohòliques i tabac;;;;
feb-09;63,909;Begudes alcohòliques i tabac;;;;
ene-09;63,163;Begudes alcohòliques i tabac;;;;
dic-08;61,841;Begudes alcohòliques i tabac;;;;
nov-08;61,821;Begudes alcohòliques i tabac;;;;
oct-08;61,768;Begudes alcohòliques i tabac;;;;
sep-08;61,711;Begudes alcohòliques i tabac;;;;
ago-08;61,654;Begudes alcohòliques i tabac;;;;
jul-08;61,64;Begudes alcohòliques i tabac;;;;
jun-08;61,627;Begudes alcohòliques i tabac;;;;
may-08;61,587;Begudes alcohòliques i tabac;;;;
abr-08;61,545;Begudes alcohòliques i tabac;;;;
mar-08;61,442;Begudes alcohòliques i tabac;;;;
feb-08;61,334;Begudes alcohòliques i tabac;;;;
ene-08;60,716;Begudes alcohòliques i tabac;;;;
dic-07;59,494;Begudes alcohòliques i tabac;;;;
nov-07;59,434;Begudes alcohòliques i tabac;;;;
oct-07;59,366;Begudes alcohòliques i tabac;;;;
sep-07;59,25;Begudes alcohòliques i tabac;;;;
ago-07;59,264;Begudes alcohòliques i tabac;;;;
jul-07;59,266;Begudes alcohòliques i tabac;;;;
jun-07;59,225;Begudes alcohòliques i tabac;;;;
may-07;59,183;Begudes alcohòliques i tabac;;;;
abr-07;59,138;Begudes alcohòliques i tabac;;;;
mar-07;59,096;Begudes alcohòliques i tabac;;;;
feb-07;59,02;Begudes alcohòliques i tabac;;;;
ene-07;58,887;Begudes alcohòliques i tabac;;;;
dic-06;56,089;Begudes alcohòliques i tabac;;;;
nov-06;55,778;Begudes alcohòliques i tabac;;;;
oct-06;55,707;Begudes alcohòliques i tabac;;;;
sep-06;55,694;Begudes alcohòliques i tabac;;;;
ago-06;55,637;Begudes alcohòliques i tabac;;;;
jul-06;55,838;Begudes alcohòliques i tabac;;;;
jun-06;55,824;Begudes alcohòliques i tabac;;;;
may-06;55,751;Begudes alcohòliques i tabac;;;;
abr-06;55,621;Begudes alcohòliques i tabac;;;;
